epoch,lane,head,cum_root_ms,win_root_ms
1784445183,MPT,21928,7.4228,9.2368
1784445183,SALT,22222,4.0779,5.1069
1784445213,MPT,22042,7.4283,8.4737
1784445213,SALT,22338,4.0787,4.2224
1784445244,MPT,22156,7.4350,8.7368
1784445244,SALT,22454,4.0803,4.3905
1784445274,MPT,22271,7.4399,8.3913
1784445274,SALT,22570,4.0814,4.2940
1784445304,MPT,22385,7.4462,8.6754
1784445304,SALT,22686,4.0827,4.3405
1784445334,MPT,22499,7.4526,8.6930
1784445334,SALT,22802,4.0834,4.2259
1784445364,MPT,22613,7.4593,8.7895
1784445364,SALT,22918,4.0843,4.2543
1784445394,MPT,22727,7.4661,8.8246
1784445394,SALT,23034,4.0851,4.2466
1784445424,MPT,22841,7.4725,8.7456
1784445424,SALT,23150,4.0859,4.2319
1784445454,MPT,22955,7.4753,8.0351
1784445454,SALT,23267,4.0856,4.0393
1784445484,MPT,23070,7.4759,7.6000
1784445484,SALT,23383,4.0851,3.9871
1784445515,MPT,23184,7.4790,8.0965
1784445515,SALT,23499,4.0846,3.9690
1784445545,MPT,23298,7.4827,8.2368
1784445545,SALT,23615,4.0845,4.0759
1784445575,MPT,23399,7.5413,21.0693
1784445575,SALT,23715,4.1815,27.0800
1784445605,MPT,23490,7.6549,36.5435
1784445606,SALT,23803,4.3470,48.9420
1784445636,MPT,23583,7.7631,35.3804
1784445636,SALT,23892,4.5027,46.1573
1784445666,MPT,23688,7.8125,18.9143
1784445666,SALT,23997,4.5639,18.4952
1784445696,MPT,23802,7.8159,8.5175
1784445696,SALT,24113,4.5630,4.3621
1784445726,MPT,23916,7.8194,8.5439
1784445726,SALT,24229,4.5614,4.2328
1784445756,MPT,24030,7.8230,8.5826
1784445756,SALT,24345,4.5604,4.3621
1784445786,MPT,24145,7.8267,8.5965
1784445786,SALT,24461,4.5594,4.3504
1784445816,MPT,24259,7.8308,8.7018
1784445816,SALT,24578,4.5578,4.2069
1784445847,MPT,24373,7.8347,8.6667
1784445847,SALT,24694,4.5560,4.1897
1784445877,MPT,24487,7.8393,8.8246
1784445877,SALT,24810,4.5549,4.3103
1784445907,MPT,24601,7.8471,9.5263
1784445907,SALT,24926,4.5575,5.1034
1784445937,MPT,24715,7.8523,8.9737
1784445937,SALT,25042,4.5558,4.1983
1784445967,MPT,24829,7.8573,8.9474
1784445967,SALT,25158,4.5543,4.2414
1784445997,MPT,24943,7.8626,9.0175
1784445997,SALT,25274,4.5532,4.3103
1784446027,MPT,25057,7.8675,8.9386
1784446027,SALT,25390,4.5517,4.2155
1784446057,MPT,25171,7.8666,7.6667
1784446057,SALT,25506,4.5487,3.8879
1784446087,MPT,25286,7.8654,7.6000
1784446088,SALT,25623,4.5460,3.9658
1784446118,MPT,25400,7.8674,8.3158
1784446118,SALT,25739,4.5448,4.2759
1784446148,MPT,25514,7.8709,8.6491
1784446148,SALT,25855,4.5429,4.1293
1784446178,MPT,25628,7.8793,9.7544
1784446178,SALT,25971,4.5450,5.0000
1784446208,MPT,25742,7.8817,8.4123
1784446208,SALT,26087,4.5433,4.1724
1784446238,MPT,25856,7.8844,8.5088
1784446238,SALT,26203,4.5416,4.1638
1784446268,MPT,25970,7.8853,8.0877
1784446268,SALT,26319,4.5409,4.3793
1784446298,MPT,26084,7.8881,8.5263
1784446298,SALT,26435,4.5400,4.3448
1784446328,MPT,26198,7.8915,8.6579
1784446328,SALT,26551,4.5383,4.1466
1784446358,MPT,26313,7.8938,8.4174
1784446359,SALT,26667,4.5365,4.1293
1784446389,MPT,26427,7.8958,8.3684
1784446389,SALT,26783,4.5354,4.2759
1784446419,MPT,26541,7.8973,8.2456
1784446419,SALT,26899,4.5340,4.2137
1784446449,MPT,26655,7.9007,8.6754
1784446449,SALT,27016,4.5329,4.2845
1784446479,MPT,26769,7.9049,8.8947
1784446479,SALT,27132,4.5321,4.3362
1784446509,MPT,26883,7.9084,8.7281
1784446509,SALT,27248,4.5310,4.2845
1784446539,MPT,26997,7.9115,8.6348
1784446539,SALT,27364,4.5299,4.2500
1784446569,MPT,27111,7.9158,8.9381
1784446569,SALT,27480,4.5286,4.2414
1784446599,MPT,27226,7.9184,8.5304
1784446599,SALT,27596,4.5275,4.2500
1784446629,MPT,27340,7.9229,9.0000
1784446630,SALT,27712,4.5256,4.0862
1784446660,MPT,27454,7.9230,7.9474
1784446660,SALT,27828,4.5234,3.9914
1784446690,MPT,27568,7.9226,7.8246
1784446690,SALT,27945,4.5212,3.9915
1784446720,MPT,27682,7.9260,8.7632
1784446720,SALT,28061,4.5190,4.0086
